"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Product.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 13, 59
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\ProductReview.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 8, 30
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Rating.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 7, 29
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Role.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\Type.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 7, 23
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Models\User.php", "PHP", 0, 61, 0, 0, 0, 0, 16, 15, 92
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 8, 5, 25
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\AuthServiceProvider.php", "PHP", 0, 11, 0, 0, 0, 0, 11, 5, 27
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 3, 5, 20
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 12, 6, 39
